year,stage,count,sim
2001,third,2112.166240108384,58
2002,third,13784.05837800682,58
2003,third,1453.8698817210352,58
2004,third,2350.6668012889786,58
2005,third,396.04636448850613,58
2006,third,172.14119752424094,58
2007,third,53.82138416791064,58
2008,third,187.8917559358766,58
2009,third,108.2416806258138,58
2010,third,34.506798767831754,58
2011,third,32.94588619762496,58
2012,third,30.127777893806535,58
2013,third,18.597168609488016,58
2014,third,40.78563750351271,58
2015,third,258.7194881392229,58
2016,third,461.4832566446574,58
2017,third,242.8950524818728,58
1986,adult,38.47882951623965,58
1987,adult,63.92437368005215,58
1988,adult,25.270735610442863,58
1989,adult,52.42572281558931,58
1990,adult,91.55630101982908,58
1991,adult,137.06025890160277,58
1992,adult,82.55230494444277,58
1993,adult,19.990180906477992,58
1994,adult,77.73008318992382,58
1995,adult,127.66589207091748,58
1996,adult,442.8766073595137,58
1997,adult,322.00355366190337,58
1998,adult,312.56424637624394,58
1999,adult,1610.7559544648589,58
2000,adult,900.0681675707771,58
2001,adult,880.636689462505,58
2002,adult,611.7865257830916,58
2003,adult,232.2845564627772,58
2004,adult,538.8838880839163,58
2005,adult,3899.085788757757,58
2006,adult,146.22683598348456,58
2007,adult,170.6219479367042,58
2008,adult,139.87141750269254,58
2009,adult,57.35960848788488,58
2010,adult,94.42799051088282,58
2011,adult,69.39242637043435,58
2012,adult,171.15544714005142,58
2013,adult,91.23800918303735,58
2014,adult,23.475953520186305,58
2015,adult,25.213942239709876,58
2016,adult,52.209004904381324,58
2017,adult,20.29610104128191,58
1986,first,298.0785467017012,59
1987,first,360.2420477175155,59
1988,first,173.58784533661793,59
1989,first,138.67861900124248,59
1990,first,79.1672665638737,59
1991,first,236.80883002149662,59
1992,first,215.40626070569826,59
1993,first,472.74097111061604,59
1994,first,434.5647998914962,59
1995,first,448.2976736771332,59
1996,first,307.56255481725515,59
1997,first,604.517205232802,59
1998,first,1409.5590556603108,59
1999,first,2362.82888864142,59
2000,first,759.4659444031344,59
2001,first,435.7742164219399,59
2002,first,2410.424242595241,59
2003,first,9411.883525845453,59
2004,first,5478.805021214624,59
2005,first,7364.251797723152,59
2006,first,14594.068764372316,59
2007,first,12125.487142668679,59
2008,first,2402.1597575059086,59
2009,first,14302.085505149642,59
2010,first,37083.4028047612,59
2011,first,19449.71765447072,59
2012,first,3908.4046891275657,59
2013,first,3727.0118786345356,59
2014,first,7287.790620640191,59
2015,first,26589.52258926692,59
2016,first,262017.9445535332,59
2017,first,149274.3563824646,59
1986,second,35.87590241862971,59
1987,second,129.84671303786203,59
1988,second,423.753164115072,59
1989,second,79.50940430543488,59
1990,second,39.31224509849036,59
1991,second,241.99216405361932,59
1992,second,64.29441824602571,59
1993,second,636.5900442885095,59
1994,second,186.78146746218601,59
1995,second,427.36601905306,59
1996,second,139.26263694834577,59
1997,second,303.25691116227995,59
1998,second,159.2006581186263,59
1999,second,1955.9624253807544,59
2000,second,156.65126470738076,59
2001,second,752.9678398398597,59
2002,second,690.4981960596526,59
2003,second,1201.225817659338,59
2004,second,4825.177713710429,59
2005,second,31446.680167662646,59
2006,second,11595.735230783615,59
2007,second,25431.49424437606,59
2008,second,5423.190668645857,59
2009,second,1637.8805910928793,59
2010,second,3190.979781830904,59
2011,second,88553.999523374,59
2012,second,41390.78918038028,59
2013,second,4743.284544068704,59
2014,second,8937.678999669148,59
2015,second,2731.6081778009066,59
2016,second,116161.14345549127,59
2017,second,189366.2336549201,59
1986,third,117.61362061656934,59
1987,third,2.5436821166440726,59
1988,third,35.697515332291516,59
1989,third,92.57424900534521,59
1990,third,153.10502321073085,59
1991,third,84.76799704024275,59
1992,third,136.9116495788831,59
1993,third,71.41397559560397,59
1994,third,346.74871339193413,59
1995,third,611.7759302771417,59
1996,third,439.46263893533757,59
1997,third,382.2502322118571,59
1998,third,158.45020354737122,59
1999,third,252.44916546855183,59
2000,third,4862.201698485613,59
2001,third,380.632785278925,59
2002,third,832.7170113031457,59
2003,third,392.69051481165934,59
2004,third,5748.771407164465,59
2005,third,4398.779317243386,59
2006,third,2449.837099589309,59
2007,third,3541.595900555383,59
2008,third,20236.35444888377,59
2009,third,7220.400745934855,59
2010,third,1479.2176006759669,59
2011,third,26963.966059519436,59
2012,third,36090.601369369004,59
2013,third,20475.569702948625,59
2014,third,3334.372970118165,59
2015,third,6189.749651113332,59
2016,third,25539.537585161528,59
2017,third,60419.06862118136,59
1986,adult,24.74473445364345,59
1987,adult,52.13263263628078,59
