name,stage,time,middle,lower16,upper84
resid_obs,NA,NA,-1.1229890979593173,-1.3533109116143334,-0.8788767699999182
resid_obs,NA,NA,-1.2755654831940284,-1.517311243316594,-1.0275111597429598
resid_obs,NA,NA,-0.07265509969629158,-0.3168569196094685,0.16042734624145694
resid_obs,NA,NA,-0.5143382308201114,-0.718790736477543,-0.31244568104738185
resid_obs,NA,NA,-0.17648540131255164,-0.3599021716942139,0.02770472908420888
resid_obs,NA,NA,-0.5075953826013333,-0.7147539490965301,-0.29145154411464824
resid_obs,NA,NA,0.16447240771789162,-0.03328563551997174,0.3496035913774516
resid_obs,NA,NA,0.27173696737263886,0.08391004791036238,0.4495303552770514
resid_obs,NA,NA,0.9599886637246506,0.7937174721479745,1.140588494824684
resid_obs,NA,NA,-0.6842412910822588,-0.8715670686659825,-0.493075674219836
resid_obs,NA,NA,-0.2366974808345952,-0.4129296920425498,-0.06251053484049064
resid_obs,NA,NA,-1.3731097423726462,-1.5528224708984089,-1.200824105823423
resid_obs,NA,NA,-1.5443042176770256,-1.7082229072577946,-1.3748957037121443
resid_obs,NA,NA,-1.0450472730716542,-1.2201629994430898,-0.8600501918155462
resid_obs,NA,NA,-2.1576413313925666,-2.3331628375017504,-1.984087973143069
resid_obs,NA,NA,-1.4917308698813003,-1.6715471446801753,-1.3140397019636778
resid_obs,NA,NA,-0.6467863032953676,-0.8208215098185535,-0.4703281986487394
resid_obs,NA,NA,-0.8268759320884047,-1.00491948819858,-0.634207735712276
resid_obs,NA,NA,0.3227956407919348,0.14352964001468455,0.5140632925367913
resid_obs,NA,NA,0.21591964031260047,0.025810317981555947,0.4111162173317444
resid_obs,NA,NA,1.1548778145012226,0.9683253137556926,1.3512390764807556
resid_obs,NA,NA,0.5192934755445273,0.32650154244633883,0.7250667979264244
resid_obs,NA,NA,0.5343968934313019,0.33932704416757825,0.7483359986610494
resid_obs,NA,NA,1.30295228322308,1.0942198503044152,1.523602660049593
resid_obs,NA,NA,1.139496417830344,0.9278238907803563,1.3625371968737419
resid_obs,NA,NA,2.138439870055869,1.9231168130575524,2.372784697812962
resid_obs,NA,NA,1.4564317595255776,1.239291188250348,1.7007376927995914
resid_sim,NA,NA,-0.036398588833263634,-0.9893198088633697,0.945897201323717
resid_sim,NA,NA,9.104030589459633e-4,-0.9677170804073149,0.9528462869718357
resid_sim,NA,NA,0.01337653184193588,-0.9517371194614574,0.9560216893182215
resid_sim,NA,NA,-0.037538281811952734,-0.9601225868085796,0.9468011690675183
resid_sim,NA,NA,-0.011447966126209908,-0.9782746473456735,0.9423715664025151
resid_sim,NA,NA,0.025047294179748603,-1.0031519397509285,0.952369348459837
resid_sim,NA,NA,-0.015976513074064114,-0.9783703302304781,0.9896104343635508
resid_sim,NA,NA,-0.0010446787957891779,-0.9393690728232438,0.9730838237720854
resid_sim,NA,NA,-0.020702128939680264,-0.9901825970490507,0.9635404353123664
resid_sim,NA,NA,0.013312719661653372,-0.943391649799048,0.992337054571312
resid_sim,NA,NA,-0.008721811263398216,-0.9500895215833506,0.9588257407739884
resid_sim,NA,NA,-0.011474876218294794,-0.9685216290479374,0.9720073020127084
resid_sim,NA,NA,-0.01825066283958443,-0.9998660948983993,0.9771009975493865
resid_sim,NA,NA,-0.012963098680086826,-0.9586811685862633,0.9283347587206305
resid_sim,NA,NA,0.037282509677119435,-0.9544402643010428,1.0033027703160444
resid_sim,NA,NA,0.034849650240315055,-0.8958011779736732,0.9843708739208019
resid_sim,NA,NA,-0.02640471283485768,-1.0160891404069001,0.9445169585039348
